pseudogroup,pubID,weeks,cluster,cluster_size
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_22_7_True_G002-136_5,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-33*01_23_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-5*03_15_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-5*03_16_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-5*03_16_7_True_G002-136_2,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-5*03_16_7_True_G002-136_4,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-5*03_16_7_True_G002-136_5,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-5*03_16_7_True_G002-136_9,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-5*03_17_7_True_G002-136_2,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-5*03_17_7_True_G002-136_6,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-5*03_18_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-5*03_21_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-5*03_22_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGKV1-5*03_24_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-15*01_14_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-15*01_14_7_True_G002-136_1,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-15*01_14_7_True_G002-136_4,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-15*01_16_7_True_G002-136_0,8
1.0,G002-136,8,IGHV1-2*02_IGKV3-15*01_16_7_True_G002-136_2,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-15*01_16_7_True_G002-136_6,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-15*01_17_7_True_G002-136_0,2
1.0,G002-136,8,IGHV1-2*02_IGKV3-15*01_19_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_13_7_True_G002-136_0,2
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_14_7_True_G002-136_1,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_14_7_True_G002-136_4,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-136_1,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-136_18,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-136_4,3
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-136_5,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-136_6,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-136_8,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-136_9,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-136_0,2
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-136_1,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-136_11,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-136_12,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-136_13,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-136_16,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-136_2,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-136_3,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-136_4,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-136_6,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-136_7,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-136_9,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_17_7_True_G002-136_1,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_17_7_True_G002-136_2,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_17_7_True_G002-136_4,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_17_7_True_G002-136_6,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_18_7_True_G002-136_0,2
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_18_7_True_G002-136_1,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_18_7_True_G002-136_2,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_18_7_True_G002-136_5,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_19_7_True_G002-136_1,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_19_7_True_G002-136_3,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_19_7_True_G002-136_4,1
1.0,G002-136,8,IGHV1-2*02_IGKV3-20*01_22_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGLV1-40*01_18_7_True_G002-136_0,2
1.0,G002-136,8,IGHV1-2*02_IGLV1-40*01_18_7_True_G002-136_1,1
1.0,G002-136,8,IGHV1-2*02_IGLV2-11*01_19_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGLV2-14*01_14_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGLV2-14*01_17_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGLV2-14*01_19_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*02_IGLV2-23*02_16_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*04_IGKV1-33*01_14_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*04_IGKV1-33*01_14_7_True_G002-136_2,1
1.0,G002-136,8,IGHV1-2*04_IGKV1-33*01_15_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*04_IGKV1-33*01_15_7_True_G002-136_2,1
1.0,G002-136,8,IGHV1-2*04_IGKV1-33*01_18_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*04_IGKV1-33*01_18_7_True_G002-136_1,1
1.0,G002-136,8,IGHV1-2*04_IGKV1-5*03_16_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*04_IGKV1-5*03_17_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*04_IGKV3-15*01_17_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*04_IGKV3-15*01_17_7_True_G002-136_1,1
1.0,G002-136,8,IGHV1-2*04_IGKV3-20*01_14_7_True_G002-136_1,1
1.0,G002-136,8,IGHV1-2*04_IGKV3-20*01_15_7_True_G002-136_0,2
1.0,G002-136,8,IGHV1-2*04_IGKV3-20*01_15_7_True_G002-136_1,1
1.0,G002-136,8,IGHV1-2*04_IGKV3-20*01_16_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*04_IGKV3-20*01_22_7_True_G002-136_0,1
1.0,G002-136,8,IGHV1-2*04_IGKV3D-15*01_19_7_True_G002-136_0,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-27*01_18_7_True_G002-145_0,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_13_7_True_G002-145_0,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_13_7_True_G002-145_1,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_13_7_True_G002-145_13,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_13_7_True_G002-145_6,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_14_7_True_G002-145_22,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_15_7_True_G002-145_0,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_15_7_True_G002-145_12,3
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_15_7_True_G002-145_14,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_15_7_True_G002-145_3,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_15_7_True_G002-145_52,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_15_7_True_G002-145_56,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_15_7_True_G002-145_7,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_15_7_True_G002-145_74,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_16_7_True_G002-145_17,2
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_16_7_True_G002-145_4,3
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_16_7_True_G002-145_8,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_17_7_True_G002-145_0,2
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_18_7_True_G002-145_0,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_19_7_True_G002-145_1,2
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_19_7_True_G002-145_4,2
1.0,G002-145,8,IGHV1-2*02_IGKV1-33*01_20_7_True_G002-145_4,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-5*03_14_7_True_G002-145_0,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-5*03_16_7_True_G002-145_11,1
