trial,pseudogroup,weeks,pubID,KD_fix_iGL
G003,G003,iGL,G003-243,
G003,G003,iGL,G003-291,
G003,G003,iGL,G003-291,
G003,G003,iGL,G003-291,1.017e-05
G003,G003,iGL,G003-291,4.322e-05
G003,G003,iGL,G003-291,2.063e-05
G003,G003,iGL,G003-291,
G003,G003,iGL,G003-291,0.0001
G003,G003,iGL,G003-291,
G003,G003,iGL,G003-396,4.322e-05
G003,G003,iGL,G003-396,
G003,G003,iGL,G003-396,4.322e-05
G003,G003,iGL,G003-396,4.322e-05
G003,G003,iGL,G003-396,
G003,G003,iGL,G003-396,
G003,G003,iGL,G003-396,
G003,G003,iGL,G003-396,
G003,G003,iGL,G003-434,7.214e-05
G003,G003,iGL,G003-434,1.287e-05
G003,G003,iGL,G003-434,4.322e-05
G003,G003,iGL,G003-434,
G003,G003,iGL,G003-434,
G003,G003,iGL,G003-434,
G003,G003,iGL,G003-434,0.0001
G003,G003,iGL,G003-434,
G003,G003,iGL,G003-516,0.0001
G003,G003,iGL,G003-516,
G003,G003,iGL,G003-516,
G003,G003,iGL,G003-516,
G003,G003,iGL,G003-516,
G003,G003,iGL,G003-516,4.322e-05
G003,G003,iGL,G003-516,0.0001
G003,G003,iGL,G003-516,0.0001
G003,G003,iGL,G003-550,
G003,G003,iGL,G003-550,4.322e-05
G003,G003,iGL,G003-550,4.322e-05
G003,G003,iGL,G003-550,7.927e-06
G003,G003,iGL,G003-550,
G003,G003,iGL,G003-550,
G003,G003,iGL,G003-550,
G003,G003,iGL,G003-611,0.0001
G003,G003,iGL,G003-611,4.322e-05
G003,G003,iGL,G003-611,
G003,G003,iGL,G003-611,1.47e-05
G003,G003,iGL,G003-611,4.322e-05
G003,G003,iGL,G003-611,
G003,G003,iGL,G003-611,
G003,G003,iGL,G003-622,0.0001
G003,G003,iGL,G003-622,4.322e-05
G003,G003,iGL,G003-622,
G003,G003,iGL,G003-622,
G003,G003,iGL,G003-622,4.778e-07
G003,G003,iGL,G003-622,
G003,G003,iGL,G003-630,
G003,G003,iGL,G003-630,
G003,G003,iGL,G003-630,8.45e-06
G003,G003,iGL,G003-630,3.057e-05
G003,G003,iGL,G003-630,
G003,G003,iGL,G003-630,0.0001
G003,G003,iGL,G003-630,0.0001
G003,G003,iGL,G003-630,
G003,G003,iGL,G003-710,4.322e-05
G003,G003,iGL,G003-710,
G003,G003,iGL,G003-710,
G003,G003,iGL,G003-710,0.0001
G003,G003,iGL,G003-710,0.0001
G003,G003,iGL,G003-710,
G003,G003,iGL,G003-710,
G003,G003,iGL,G003-710,0.0001
G003,G003,iGL,G003-732,4.322e-05
G003,G003,iGL,G003-732,
G003,G003,iGL,G003-732,4.322e-05
G003,G003,iGL,G003-732,
G003,G003,iGL,G003-732,7.209e-06
G003,G003,iGL,G003-732,
G003,G003,iGL,G003-732,0.0001
G003,G003,iGL,G003-732,
G003,G003,iGL,G003-753,
G003,G003,iGL,G003-753,4.322e-05
G003,G003,iGL,G003-753,0.0001
G003,G003,iGL,G003-753,0.0001
G003,G003,iGL,G003-753,
G003,G003,iGL,G003-753,0.0001
G003,G003,iGL,G003-753,
G003,G003,iGL,G003-753,
G003,G003,iGL,G003-768,
G003,G003,iGL,G003-768,0.0001
G003,G003,iGL,G003-799,
G003,G003,iGL,G003-799,4.322e-05
G003,G003,iGL,G003-799,
G003,G003,iGL,G003-799,3.296e-05
G003,G003,iGL,G003-799,
G003,G003,iGL,G003-799,2.502e-05
G003,G003,iGL,G003-799,
G003,G003,iGL,G003-799,4.322e-05
G003,G003,iGL,G003-831,4.322e-05
G003,G003,iGL,G003-831,
G003,G003,iGL,G003-831,
G003,G003,iGL,G003-831,4.322e-05
G003,G003,iGL,G003-831,4.322e-05
G003,G003,iGL,G003-831,
G003,G003,iGL,G003-831,0.0001
G003,G003,iGL,G003-831,
