trial,pseudogroup,weeks,pubID,KD_fix_iGL
G002,G002,iGL,G002-997,
G002,G002,iGL,G002-997,7.376e-08
G003,G003,iGL,G003-135,5.769e-09
G003,G003,iGL,G003-135,
G003,G003,iGL,G003-210,
G003,G003,iGL,G003-210,4.328e-07
G003,G003,iGL,G003-210,1.193e-08
G003,G003,iGL,G003-210,1.738e-09
G003,G003,iGL,G003-210,
G003,G003,iGL,G003-210,2.175e-09
G003,G003,iGL,G003-210,
G003,G003,iGL,G003-210,
G003,G003,iGL,G003-243,
G003,G003,iGL,G003-243,1.211e-07
G003,G003,iGL,G003-243,3.643e-11
G003,G003,iGL,G003-243,4.868e-08
G003,G003,iGL,G003-243,3.223e-11
G003,G003,iGL,G003-243,
G003,G003,iGL,G003-243,
G003,G003,iGL,G003-243,
G003,G003,iGL,G003-291,
G003,G003,iGL,G003-291,3.632e-09
G003,G003,iGL,G003-291,
G003,G003,iGL,G003-291,9.534e-10
G003,G003,iGL,G003-291,
G003,G003,iGL,G003-291,2.903e-10
G003,G003,iGL,G003-291,
G003,G003,iGL,G003-291,2.499e-09
G003,G003,iGL,G003-396,4.135e-09
G003,G003,iGL,G003-396,2.222e-08
G003,G003,iGL,G003-396,1.386e-09
G003,G003,iGL,G003-396,
G003,G003,iGL,G003-396,
G003,G003,iGL,G003-396,3.403e-08
G003,G003,iGL,G003-396,
G003,G003,iGL,G003-396,
G003,G003,iGL,G003-434,3.759e-08
G003,G003,iGL,G003-434,2.358e-09
G003,G003,iGL,G003-434,1.635e-08
G003,G003,iGL,G003-434,
G003,G003,iGL,G003-434,
G003,G003,iGL,G003-434,8.796e-08
G003,G003,iGL,G003-434,
G003,G003,iGL,G003-434,
G003,G003,iGL,G003-516,
G003,G003,iGL,G003-516,
G003,G003,iGL,G003-516,
G003,G003,iGL,G003-516,4.393e-08
G003,G003,iGL,G003-516,
G003,G003,iGL,G003-516,6.905e-09
G003,G003,iGL,G003-516,3.274e-08
G003,G003,iGL,G003-516,2.158e-08
G003,G003,iGL,G003-550,
G003,G003,iGL,G003-550,3.474e-08
G003,G003,iGL,G003-550,3.33e-07
G003,G003,iGL,G003-550,
G003,G003,iGL,G003-550,
G003,G003,iGL,G003-550,
G003,G003,iGL,G003-550,4.175e-11
G003,G003,iGL,G003-550,1.746e-07
G003,G003,iGL,G003-611,5.514e-08
G003,G003,iGL,G003-611,1.132e-06
G003,G003,iGL,G003-611,
G003,G003,iGL,G003-611,1.083e-07
G003,G003,iGL,G003-611,
G003,G003,iGL,G003-611,
G003,G003,iGL,G003-611,6.368e-10
G003,G003,iGL,G003-611,
G003,G003,iGL,G003-622,
G003,G003,iGL,G003-622,
G003,G003,iGL,G003-622,2.135e-07
G003,G003,iGL,G003-622,5.849e-10
G003,G003,iGL,G003-622,2.438e-11
G003,G003,iGL,G003-622,
G003,G003,iGL,G003-622,
G003,G003,iGL,G003-622,
G003,G003,iGL,G003-630,
G003,G003,iGL,G003-630,1.664e-11
G003,G003,iGL,G003-630,
G003,G003,iGL,G003-630,
G003,G003,iGL,G003-630,3.745e-10
G003,G003,iGL,G003-630,
G003,G003,iGL,G003-630,4.514e-07
G003,G003,iGL,G003-630,4.443e-07
G003,G003,iGL,G003-710,
G003,G003,iGL,G003-710,
G003,G003,iGL,G003-710,1.279e-09
G003,G003,iGL,G003-710,3.581e-06
G003,G003,iGL,G003-710,
G003,G003,iGL,G003-710,5.177e-08
G003,G003,iGL,G003-710,
G003,G003,iGL,G003-710,7.102e-07
G003,G003,iGL,G003-732,1.968e-07
G003,G003,iGL,G003-732,8.398e-08
G003,G003,iGL,G003-732,
G003,G003,iGL,G003-732,
G003,G003,iGL,G003-732,2.342e-09
G003,G003,iGL,G003-732,7.857e-09
G003,G003,iGL,G003-732,
G003,G003,iGL,G003-732,
G003,G003,iGL,G003-753,
G003,G003,iGL,G003-753,3.75e-08
G003,G003,iGL,G003-753,4.271e-07
G003,G003,iGL,G003-753,5.74e-09
G003,G003,iGL,G003-753,
G003,G003,iGL,G003-753,1.438e-06
G003,G003,iGL,G003-753,
G003,G003,iGL,G003-753,
G003,G003,iGL,G003-768,
G003,G003,iGL,G003-768,8.598e-09
G003,G003,iGL,G003-799,
G003,G003,iGL,G003-799,1.929e-09
G003,G003,iGL,G003-799,
G003,G003,iGL,G003-799,4.064e-08
G003,G003,iGL,G003-799,3.204e-08
G003,G003,iGL,G003-799,
G003,G003,iGL,G003-799,9.637e-10
G003,G003,iGL,G003-799,
G003,G003,iGL,G003-831,
G003,G003,iGL,G003-831,1.005e-08
G003,G003,iGL,G003-831,4.368e-10
G003,G003,iGL,G003-831,
G003,G003,iGL,G003-831,
G003,G003,iGL,G003-831,
G003,G003,iGL,G003-831,5.206e-09
G003,G003,iGL,G003-831,3.09e-08
