trial,pseudogroup,weeks,pubID,KD_fix_iGL
G002,G002,iGL,G002-931,5.264e-06
G002,G002,iGL,G002-931,
G002,G002,iGL,G002-931,
G002,G002,iGL,G002-943,
G002,G002,iGL,G002-943,
G002,G002,iGL,G002-943,4.204e-07
G002,G002,iGL,G002-943,
G002,G002,iGL,G002-947,4.768e-06
G002,G002,iGL,G002-947,0.0001
G002,G002,iGL,G002-947,0.0001
G002,G002,iGL,G002-947,0.0001
G002,G002,iGL,G002-969,
G002,G002,iGL,G002-969,
G002,G002,iGL,G002-969,
G002,G002,iGL,G002-969,
G002,G002,iGL,G002-969,
G002,G002,iGL,G002-969,1.125e-05
G002,G002,iGL,G002-988,
G002,G002,iGL,G002-988,
G002,G002,iGL,G002-988,
G002,G002,iGL,G002-988,
G002,G002,iGL,G002-988,5.759e-05
G002,G002,iGL,G002-988,
G002,G002,iGL,G002-997,
G002,G002,iGL,G002-997,
G002,G002,iGL,G002-997,
G002,G002,iGL,G002-997,
G002,G002,iGL,G002-997,
G002,G002,iGL,G002-997,5.759e-05
G003,G003,iGL,G003-135,
G003,G003,iGL,G003-135,0.0001
G003,G003,iGL,G003-138,
G003,G003,iGL,G003-138,
G003,G003,iGL,G003-138,1.215e-07
G003,G003,iGL,G003-138,6.354e-06
G003,G003,iGL,G003-210,3.077e-07
G003,G003,iGL,G003-210,
G003,G003,iGL,G003-210,3.766e-07
G003,G003,iGL,G003-210,
G003,G003,iGL,G003-243,
G003,G003,iGL,G003-243,2.784e-05
G003,G003,iGL,G003-243,
G003,G003,iGL,G003-243,
G003,G003,iGL,G003-291,
G003,G003,iGL,G003-291,
G003,G003,iGL,G003-291,7.338e-07
G003,G003,iGL,G003-291,5.206e-05
G003,G003,iGL,G003-396,
G003,G003,iGL,G003-396,
G003,G003,iGL,G003-396,
G003,G003,iGL,G003-396,5.206e-05
G003,G003,iGL,G003-434,7.736e-08
G003,G003,iGL,G003-434,
G003,G003,iGL,G003-434,1.333e-05
G003,G003,iGL,G003-434,
G003,G003,iGL,G003-516,5.206e-05
G003,G003,iGL,G003-516,
G003,G003,iGL,G003-516,1.412e-07
G003,G003,iGL,G003-516,
G003,G003,iGL,G003-550,
G003,G003,iGL,G003-550,4.585e-08
G003,G003,iGL,G003-550,
G003,G003,iGL,G003-550,
G003,G003,iGL,G003-611,
G003,G003,iGL,G003-611,
G003,G003,iGL,G003-611,
G003,G003,iGL,G003-611,5.206e-05
G003,G003,iGL,G003-622,
G003,G003,iGL,G003-622,1.807e-06
G003,G003,iGL,G003-622,
G003,G003,iGL,G003-622,2.068e-05
G003,G003,iGL,G003-630,1.483e-07
